Toss Winning,,,Matches Won,,,Matches won by individual Players,,,Count of Win by Runs and Wickets,,,,Umpire -1 ,,,Umpire-2 ,,,,,,
Toss Winners,Count of season,,Teams,Count of Years (date),,Team Players,Count of Winning seasons,,Row Labels,Count of win_by_wickets,Count of win_by_runs,,Name,Total count of matches,,Name,Total Count of matches,,Seasons,Column Labels,,
Mumbai Indians,85,,Mumbai Indians,95,,CH Gayle,21,,Mumbai,92,92,,HDPK Dharmasena,74,,SJA Taufel,55,,Row Labels,bat,field,Grand Total
Kolkata Knight Riders,78,,Chennai Super Kings,79,,YK Pathan,16,,Bangalore,66,66,,Asad Rauf,51,,C Shamshuddin,50,,Chennai Super Kings,44,22,66
Delhi Daredevils,72,,Kolkata Knight Riders,77,,AB de Villiers,15,,Kolkata,61,61,,AK Chaudhary,43,,S Ravi,49,,Deccan Chargers,24,19,43
Royal Challengers Bangalore,70,,Royal Challengers Bangalore,73,,DA Warner,15,,Delhi,60,60,,Aleem Dar,38,,RJ Tucker,38,,Delhi Daredevils,26,46,72
Kings XI Punjab,68,,Kings XI Punjab,70,,SK Raina,14,,Hyderabad,49,49,,BF Bowden,37,,CK Nandan,36,,Gujarat Lions,1,14,15
Chennai Super Kings,66,,Rajasthan Royals,63,,RG Sharma,14,,Chennai,48,48,,S Ravi,36,,RB Tiffin,30,,Kings XI Punjab,25,43,68
Rajasthan Royals,63,,Delhi Daredevils,62,,MS Dhoni,13,,Chandigarh,46,46,,BR Doctrove,34,,VA Kulkarni,28,,Kochi Tuskers Kerala,3,5,8
Deccan Chargers,43,,Sunrisers Hyderabad,42,,G Gambhir,13,,Jaipur,33,33,,M Erasmus,32,,SK Tarapore,26,,Kolkata Knight Riders,30,48,78
Sunrisers Hyderabad,35,,Deccan Chargers,29,,AM Rahane,12,,Pune,32,32,,RE Koertzen,20,,BNJ Oxenford,25,,Mumbai Indians,40,45,85
Pune Warriors,20,,Rising Pune Supergiant,15,,MEK Hussey,12,,Durban,15,15,,S Asnani,19,,AM Saheba,23,,Pune Warriors,11,9,20
Gujarat Lions,15,,Gujarat Lions,13,,V Sehwag,11,,Centurion,12,12,,JD Cloete,16,,M Erasmus,22,,Rajasthan Royals,28,35,63
Rising Pune Supergiant,13,,Pune Warriors,12,,V Kohli,11,,Ahmedabad,12,12,,CB Gaffaney,14,,RE Koertzen,21,,Rising Pune Supergiant,3,10,13
Kochi Tuskers Kerala,8,,Kochi Tuskers Kerala,6,,DR Smith,11,,Visakhapatnam,11,11,,AY Dandekar,13,,DJ Harper,18,,Royal Challengers Bangalore,20,50,70
Grand Total,636,,Grand Total,636,,SR Watson,10,,Rajkot,10,10,,BG Jerling,13,,AK Chaudhary,15,,Sunrisers Hyderabad,18,17,35
,,,,,,JH Kallis,10,,Dharamsala,9,9,,NJ Llong,12,,HDPK Dharmasena,14,,Grand Total,273,363,636
,,,,,,SE Marsh,9,,Johannesburg,8,8,,Nitin Menon,11,,SL Shastri,13,,,,,
,,,,,,A Mishra,9,,Cape Town,7,7,,SS Hazare,11,,NJ Llong,13,,,,,
,,,,,,KA Pollard,9,,Port Elizabeth,7,7,,A Nand Kishore,11,,K Srinath,13,,,,,
,,,,,,SR Tendulkar,8,,Ranchi,7,7,,VA Kulkarni,11,,K Hariharan,11,,,,,
,,,,,,AC Gilchrist,7,,Cuttack,7,7,,KN Ananthapadmanabhan,11,,S Asnani,11,,,,,
,,,,,,RV Uthappa,7,,Abu Dhabi,7,7,,RK Illingworth,11,,CB Gaffaney,10,,,,,
,,,,,,AT Rayudu,7,,Sharjah,6,6,,S Das,10,,VK Sharma,9,,,,,
,,,,,,RA Jadeja,7,,Raipur,6,6,,MR Benson,10,,RK Illingworth,8,,,,,
,,,,,,AD Russell,6,,Kochi,5,5,,K Hariharan,10,,Nitin Menon,8,,,,,
,,,,,,A Nehra,6,,Indore,5,5,,DJ Harper,9,,PR Reiffel,8,,,,,
,,,,,,SP Narine,6,,Kanpur,4,4,,IL Howell,7,,BR Doctrove,8,,,,,
,,,,,,Harbhajan Singh,6,,East London,3,3,,BNJ Oxenford,7,,IL Howell,7,,,,,
,,,,,,UT Yadav,6,,Kimberley,3,3,,GAV Baxter,7,,I Shivram,6,,,,,
,,,,,,M Vijay,6,,Nagpur,3,3,,RM Deshpande,7,,AL Hill,6,,,,,
,,,,,,BJ Hodge,6,,Bloemfontein,2,2,,C Shamshuddin,6,,GA Pratapkumar,6,,,,,
,,,,,,SL Malinga,5,,Grand Total,636,636,,SJ Davis,6,,PG Pathak,6,,,,,
,,,,,,DW Steyn,5,,,,,,SD Fry,5,,SS Hazare,6,,,,,
,,,,,,AJ Finch,5,,,,,,CK Nandan,5,,TH Wijewardene,5,,,,,
,,,,,,BB McCullum,5,,,,,,SK Tarapore,5,,A Nand Kishore,5,,,,,
,,,,,,DPMD Jayawardene,5,,,,,,YC Barde,4,,S Das,5,,,,,
,,,,,,JP Faulkner,5,,,,,,A Deshmukh,3,,AV Jayaprakash,4,,,,,
,,,,,,B Kumar,5,,,,,,AM Saheba,3,,BG Jerling,4,,,,,
