rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude,subscriber_bins,views_bins
1,t-series,245000000,228000000000.0,music,t-series,20082,india,in,music,1.0,1.0,1.0,2258000000.0,564600.0,9000000.0,6800000.0,108400000.0,2000000.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Very High (> 100M),Very High (> 100B)
2,youtube movies,170000000,0.0,film & animation,youtubemovies,1,united states,us,games,4055159.0,7670.0,7423.0,12.0,0.0,0.05,0.04,0.58,0.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Very High (> 100M),
3,mrbeast,166000000,28368841870.0,entertainment,mrbeast,741,united states,us,entertainment,48.0,1.0,1.0,1348000000.0,337000.0,5400000.0,4000000.0,64700000.0,8000000.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Very High (> 100M),High (10B - 100B)
4,cocomelon - nursery rhymes,162000000,164000000000.0,education,cocomelon - nursery rhymes,966,united states,us,education,2.0,2.0,1.0,1975000000.0,493800.0,7900000.0,5900000.0,94800000.0,1000000.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Very High (> 100M),Very High (> 100B)
5,set india,159000000,148000000000.0,shows,set india,116536,india,in,entertainment,3.0,2.0,2.0,1824000000.0,455900.0,7300000.0,5500000.0,87500000.0,1000000.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Very High (> 100M),Very High (> 100B)
6,music,119000000,0.0,Other,music,0,Not Available,NA,music,4057944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Very High (> 100M),
7, kids diana show,112000000,93247040539.0,people & blogs,ýýý kids diana show,1111,united states,us,entertainment,5.0,3.0,3.0,731674000.0,182900.0,2900000.0,2200000.0,35100000.0,0.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Very High (> 100M),High (10B - 100B)
8,pewdiepie,111000000,29058044447.0,gaming,pewdiepie,4716,japan,jp,entertainment,44.0,1.0,4.0,39184000.0,9800.0,156700.0,117600.0,1900000.0,0.0,63.2,126226568.0,2.29,115782416.0,36.204824,138.252924,Very High (> 100M),High (10B - 100B)
9,like nastya,106000000,90479060027.0,people & blogs,like nastya vlog,493,russia,ru,people,630.0,5.0,25.0,48947000.0,12200.0,195800.0,146800.0,2300000.0,100000.0,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756,Very High (> 100M),High (10B - 100B)
10,vlad and niki,98900000,77180169894.0,entertainment,vlad and niki,574,united states,us,entertainment,8.0,5.0,6.0,580574000.0,145100.0,2300000.0,1700000.0,27900000.0,600000.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,High (50M - 100M),High (10B - 100B)
11,zee music company,96700000,57856289381.0,music,zee music company,8548,india,in,music,12.0,3.0,2.0,803613000.0,200900.0,3200000.0,2400000.0,38600000.0,1100000.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,High (50M - 100M),High (10B - 100B)
12,wwe,96000000,77428473662.0,sports,wwe,70127,united states,us,sports,7.0,6.0,1.0,714614000.0,178700.0,2900000.0,2100000.0,34300000.0,600000.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,High (50M - 100M),High (10B - 100B)
13,gaming,93600000,0.0,Other,gaming,0,Not Available,NA,games,4057944.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High (50M - 100M),
14,blackpink,89800000,32144597566.0,people & blogs,blackpink,543,south korea,kr,music,32.0,1.0,3.0,498930000.0,124700.0,2000000.0,1500000.0,23900000.0,700000.0,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922,High (50M - 100M),High (10B - 100B)
15,goldmines,86900000,24118230580.0,film & animation,goldmines,1,Not Available,NA,music,4056562.0,0.0,5663.0,18.0,0.0,0.07,0.05,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High (50M - 100M),High (10B - 100B)
16,sony sab,83000000,101000000000.0,shows,sony sab,71270,india,in,entertainment,4.0,5.0,7.0,1657000000.0,414300.0,6600000.0,5000000.0,79600000.0,1100000.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,High (50M - 100M),Very High (> 100B)
17,5-minute crafts,80100000,26236790209.0,howto & style,5-minute crafts 2.0,1,united kingdom,gb,entertainment,4057901.0,4797.0,6781.0,1.0,0.0,0.0,0.0,0.05,0.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973,High (50M - 100M),High (10B - 100B)
18,bangtantv,75600000,20826993957.0,music,bangtantv,2281,south korea,kr,music,112.0,2.0,4.0,168290000.0,42100.0,673200.0,504900.0,8100000.0,400000.0,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922,High (50M - 100M),High (10B - 100B)
19,sports,75000000,0.0,Other,sports,3,united states,us,entertainment,3898122.0,6266.0,5395.0,16.0,0.0,0.06,0.05,0.77,0.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,High (50M - 100M),
20,justin bieber,71600000,30608119724.0,music,justin bieber,249,canada,ca,music,38.0,1.0,6.0,176326000.0,44100.0,705300.0,529000.0,8500000.0,100000.0,68.9,36991981.0,5.56,30628482.0,56.130366,-106.346771,High (50M - 100M),High (10B - 100B)
21,hybe labels,71300000,28634566938.0,music,hybe labels,1337,south korea,kr,music,46.0,3.0,5.0,598173000.0,149500.0,2400000.0,1800000.0,28700000.0,900000.0,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922,High (50M - 100M),High (10B - 100B)
22,zee tv,70500000,73139054467.0,entertainment,zee tv,129204,india,in,entertainment,9.0,6.0,8.0,1707000000.0,426800.0,6800000.0,5100000.0,81900000.0,900000.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,High (50M - 100M),High (10B - 100B)
23,pinkfong baby shark - kids' songs & stories,68200000,38843229963.0,education,pinkfong baby shark - kids' songs & stories,2865,united states,us,education,23.0,8.0,2.0,473387000.0,118300.0,1900000.0,1400000.0,22700000.0,600000.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,High (50M - 100M),High (10B - 100B)
24,canal kondzilla,66500000,36775585925.0,music,canal kondzilla,2572,brazil,br,music,25.0,1.0,7.0,447223000.0,0.0,0.0,0.0,0.0,0.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528,High (50M - 100M),High (10B - 100B)
25,chuchu tv nursery rhymes & kids songs,65900000,45757850229.0,education,chuchu tv nursery rhymes & kids songs,633,india,in,education,18.0,7.0,3.0,420292000.0,105100.0,1700000.0,1300000.0,20200000.0,500000.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,High (50M - 100M),High (10B - 100B)
