ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time,Normalized Restaurant
211,Koramangala,Bangalore,Tandoor Hut,300,4.4,100,"Biryani,Chinese,North Indian,South Indian",5Th Block,59,tandoor hut
221,Koramangala,Bangalore,Tunday Kababi,300,4.1,100,"Mughlai,Lucknowi",5Th Block,56,tunday kababi
246,Jogupalya,Bangalore,Kim Lee,650,4.4,100,Chinese,Double Road,50,kim lee
248,Indiranagar,Bangalore,New Punjabi Hotel,250,3.9,500,"North Indian,Punjabi,Tandoor,Chinese",80 Feet Road,57,new punjabi hotel
249,Indiranagar,Bangalore,Nh8,350,4.0,50,"Rajasthani,Gujarati,North Indian,Snacks,Desserts,Beverages,Thalis,Chaat",80 Feet Road,63,nh8
254,Indiranagar,Bangalore,Treat,800,4.5,100,"Mughlai,North Indian",100 Feet Road,56,treat
258,Indiranagar,Bangalore,Chinita Real Mexican Food,1000,4.5,500,"Mexican,Beverages,Salads",Double Road,53,chinita real mexican food
263,Koramangala,Bangalore,Cupcake Noggins - Cakespastries And Desserts,150,4.3,100,"Desserts,British,Bakery,Pizzas,Snacks",4Th Block,57,cupcake noggin - cakepatrie & deert
267,Domlur,Bangalore,Tea Brew,350,4.1,100,"American,Italian,Beverages,Continental,Chinese,Pastas,Pizzas,Fast Food",Double Road,57,tea brew
308,Koramangala,Bangalore,Bangaliana,300,4.0,500,Bengali,7Th Block,57,bangaliana
435,Koramangala,Bangalore,Bamey'S Restro Cafe,400,4.4,100,"Chinese,Thai,Nepalese",5Th Block,56,bamey retro cafe
446,Cooke Town,Bangalore,Altaf'S Chillies Restaurants,250,4.3,500,"North Indian,Chinese",Cooke Town,55,altaf chillie retaurant
453,Pulikeshi Nagar,Bangalore,Chichabas Taj,532,4.2,100,"Mughlai,North Indian,Biryani",Mm Road,54,chichaba taj
464,Sivanchetti Gardens,Bangalore,Urban Solace,500,2.9,80,"American,Continental",Ulsoor Lake,48,urban olace
504,Kodihalli,Bangalore,Kaati Zone Rolls & Wraps,150,4.3,100,"Fast Food,Beverages,Bengali,Biryani,Indian,North Indian,Snacks,Street Food",Domlur Layout,59,kaati zone roll & wrap
604,Koramangala,Bangalore,Aalishan Restaurant & Caterer,290,4.3,100,"Mughlai,North Indian",7Th Block,52,aalihan retaurant & caterer
608,Domlur,Bangalore,Kerala Pavilion,300,4.1,100,"Kerala,Seafood",Domlur Layout,55,kerala pavilion
621,Indiranagar,Bangalore,Kitchen Of Joy,250,4.4,100,"Bengali,Fast Food,Chinese",Domlur,55,kitchen of joy
1050,Jayanagar,Bangalore,Nagarjuna Chimney,800,4.2,1000,"Seafood,Andhra,Biryani,South Indian,Combo,Desserts,Beverages",3Rd Block,48,nagarjuna chimney
1299,Film Nagar,Hyderabad,So. The Sky Kitchen,800,2.9,80,"Mughlai,North Indian,Chinese,Thai,Asian",Near Apollo Health City Gate,90,o. the ky kitchen
1304,Indiranagar,Bangalore,Esplanade,1200,4.3,100,"Mughlai,Bengali",I Indirangar,54,eplanade
1457,Banashankari,Bangalore,Hotel New Karavali,250,3.8,100,"North Indian,Chinese,South Indian",Bsk 1St Stage,53,hotel new karavali
1547,Masab Tank,Hyderabad,Dine Hill,400,4.1,500,"Arabian,Biryani,North Indian,Chinese",Ahmed Nagar,49,dine hill
1590,Banjara Hills,Hyderabad,Sarvi Restaurant,400,4.1,5000,"Biryani,Tandoor,Chinese,Indian,Desserts,Kebabs,Mughlai",Road 11,56,arvi retaurant
1593,Banjara Hills,Hyderabad,Sarvi Bakery,250,4.1,100,"Desserts,Fast Food,Bakery",Opposite Care Hospital Road 11 Banjara Hills,58,arvi bakery
1609,Andheri East,Mumbai,Kung Fu Panda,600,4.3,100,Chinese  Thai  Asian,Marol,58,kung fu panda
1617,Powai,Mumbai,Kosho,300,4.2,100,"Mughlai,North Indian,Chinese,Seafood,Italian",Chandivali,56,koho
1844,Punjagutta,Hyderabad,Chinese Pavilion,850,4.3,500,"Chinese,Seafood",Nagarjuna Circle,64,chinee pavilion
1848,Banjara Hills,Hyderabad,Chef Inam'S Steak House,1200,4.2,100,"Steakhouse,American",Sri Ram Nagar Colony Banjara Hills,69,chef inam teak houe
1874,Indiranagar,Bangalore,Mamagoto,900,4.2,100,"Chinese,Asian,Pan-Asian,Thai,Oriental",Mamagoto,59,mamagoto
1884,Powai,Mumbai,Hakka Express,300,4.0,100,"Chinese,Asian,Thai",Narayan Plaza,48,hakka expre
2008,Indiranagar,Bangalore,The Brekkie Shop - All Day Menu,200,4.3,500,"British,Italian,Indian,Chinese,South Indian,North Indian,Desserts",1St Stage,57,the brekkie hop - all day menu
2042,Aundh,Pune,Juice Destination,200,4.2,500,"Thalis,North Indian,Punjabi,Beverages",Iti Road Aundh,60,juice detination
2047,Aundh,Pune,Hyderabadi Spice,400,4.2,1000,"Biryani,Mughlai,North Indian,Chinese",Parihar Chowk,58,hyderabadi pice
2102,Aundh,Pune,Cafe Peterdonuts,400,4.1,50,"Continental,Desserts",Gaikwad Nagar,71,cafe peterdonut
2250,Baner,Pune,Karolbaug,750,4.1,50,"Mughlai,North Indian,Chinese,Biryani",Sakal Nagar,72,karolbaug
2312,Powai Area,Mumbai,The Punjabi'S Kitchen,500,4.4,500,North Indian,Guru Hargobindji Marg  Andheri East,65,the punjabi kitchen
2344,Ramgopalpet,Hyderabad,Aangan - Yatri Nivas,500,4.1,100,North Indian  South Indian,S P Road,66,aangan - yatri niva
2348,Kalasiguda,Hyderabad,Bluefox,800,4.2,1000,Biryani  North Indian  Chinese  Tandoor,Sd Road,68,bluefox
2516,Aundh,Pune,Taaareef,1100,4.4,100,"Mughlai,North Indian,Seafood,Biryani",Iti Road,67,taaareef
2770,Kalasiguda,Hyderabad,Flavours Of Taj Mahal Hotel,300,4.2,1000,North Indian  Chinese  Desserts  Continental  South Indian,Sd Road,57,flavour of taj mahal hotel
2776,Adarsh Nagar,Hyderabad,Ohri'S Eatmor,600,4.2,500,"Ice Cream,Beverages,Desserts,Chaat,Italian",New Mla Quarters,37,ohri eatmor
2777,Adarsh Nagar,Hyderabad,Ohri'S Ming'S Court,500,4.0,1000,Chinese,New Mla Quarters,39,ohri ming court
2795,Himayatnagar,Hyderabad,Minerva Coffee Shop,500,4.3,1000,"South Indian,North Indian,Chinese",Himayath Nagar Road,30,minerva coffee hop
2796,Himayatnagar,Hyderabad,Bluefox,800,4.1,1000,"Biryani,North Indian,Chinese,Tandoor",Himayath Nagar Road,36,bluefox
2811,Ashok Nagar,Bangalore,Art Of Delight,250,4.6,100,"Ice Cream,Desserts,Beverages",Residency Road,34,art of delight
2820,Commercial Street,Bangalore,Khan Saheb Grills And Rolls,300,4.3,50,"Tandoor,Mughlai,North Indian,Kebabs",Kamaraj Road,39,khan aheb grill & roll
2824,Richmond Town,Bangalore,Fanoos,300,4.2,500,"Biryani,Tandoor,Kebabs,Barbecue,Fast Food",Hosur Road,33,fanoo
2827,Richmond Town,Bangalore,In Wok,500,4.3,100,Chinese,Richmond,44,in wok
2832,Ashok Nagar,Bangalore,Lakeview Milkbar,450,4.1,100,"Desserts,Ice Cream,Bakery,Fast Food",Mg Road,31,lakeview milkbar
2839,Ashok Nagar,Bangalore,C Sharp Kitchen,300,2.9,80,"Chinese,Continental,Fast Food",Church Street,33,c harp kitchen
2840,Ashok Nagar,Bangalore,Roomali,1000,4.4,100,"North Indian,Indian",Church Street,35,roomali
2843,Ashok Nagar,Bangalore,Tadka Singh,300,4.2,100,"Punjabi,North Indian",Church Street,38,tadka ingh
2914,Ashok Nagar,Bangalore,Bheemas,550,4.3,100,Andhra,Church Street,31,bheema
2915,Vasanth Nagar,Bangalore,Watson'S,450,2.9,80,Fast Food,1St Main Road,53,waton
2964,Andheri East,Mumbai,Sai Leela,500,4.2,20,"Mughlai,North Indian,Chinese,Seafood",Andheri East,63,ai leela
3007,Bhowanipore,Kolkata,Tandoori Darbar,500,4.4,100,"North Indian,Chinese,Tandoor,Biryani,Beverages,Desserts",Hazra Road,71,tandoori darbar
3010,Ballygunge,Kolkata,Ballygunge Dhaba,500,4.3,500,"North Indian,Biryani,Chinese",Ballygunge,59,ballygunge dhaba
3018,Gariahat,Kolkata,Tero Parbon,500,4.3,100,Bengali,Purna Das Road Hindustan Park,72,tero parbon
3020,Ballygunge,Kolkata,Wise Owl The Coffee Shop,700,4.3,100,"Continental,American,Cafe",Purnadas Road,76,wie owl the coffee hop
3022,Gariahat,Kolkata,Aminia Restaurant- Golpark,500,4.3,1000,"Biryani,Mughlai,North Indian,Indian,Kebabs,Tandoor",Ballygunge Gardens,67,aminia retaurant- golpark
3025,Gariahat,Kolkata,Bedouin - Sher E Bengal,500,2.9,80,"North Indian,Chinese,Bengali",Gariahat Road Gariahat,70,bedouin - her e bengal
3031,Ballygunge,Kolkata,Sharma Dhaba,300,4.2,1000,North Indian  Fast Food  Tandoor  Biryani  Kebabs  Snacks  Chinese,Ballygunge Circular Road  Ballygunge Maidan Camp  Ballygunge,54,harma dhaba
3063,Indiranagar,Bangalore,Kund Indian Barbeque,200,4.2,100,"Mughlai,North Indian,Biryani,Kebabs,Desserts",1St Stage,58,kund indian barbeque
3071,Bhowanipore,Kolkata,Jai Hind Dhaba,500,4.3,1000,"North Indian,Indian,Tandoor,Kebabs,Punjabi,Home Food,Chinese",Sarat Bose Road Paddapukur,60,jai hind dhaba
3074,Kalighat,Kolkata,Tamarind,1100,4.4,100,"North Indian,South Indian",Sarat Bose Road Desapriya Park,73,tamarind
3207,Pulikeshi Nagar,Bangalore,Pathaan Sir,300,4.2,100,Fast Food,Coles Road,47,pathaan ir
3265,Indiranagar,Bangalore,Chaipatty,200,3.9,50,"Fast Food,Beverages,Pizzas,Street Food,Snacks",Hanumanthanagar,56,chaipatty
3279,Powai Area,Mumbai,5 Spice,1100,4.2,500,"Chinese,Desserts",Powai Area,53,5 pice
3324,Punjagutta,Hyderabad,Srikanya,250,4.1,1000,"Andhra,Seafood",Punjagutta Road,56,rikanya
